Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,256,21505,4.26255e+07,55.4974,1301.98,1.43977e+08,3680.52,256,55.503,64,9,514,6,1,1,150528,96,2.7999e+07,1193472,2816.18,56.5248,4,803.819,1193472, 1189504, 1189504, 150528, 1.00334, 1193472, 96, 96, 96, 12432, 1193472, 1193472, 1605632, 1193472, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 1
MobileNetV2,Bottleneck1_1_1,256,114690,4.47907e+08,111.998,250.048,1.43977e+08,3680.52,256,112.009,128,9,1026,6,1,1,401408,1024,2.8678e+07,12845056,2816.18,56.5248,4,803.819,12845056, 12837120, 12837120, 401408, 1.00062, 12845056, 1024, 1024, 1024, 12544, 12845056, 12845056, 401408, 12845056, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
MobileNetV2,Bottleneck1_1_2,256,4964,1.30736e+08,702.015,5369.72,1.43977e+08,3680.52,256,330.61,484,9,2450,54,1,1,401408,288,2.66553e+07,3484800,2816.18,56.5248,4,803.819,3484800, 1184620, 1184620, 401408, 2.9417, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 387200, 1, 2, 4, 2, 1, 1, 1, 2, 2, 2, 220, 2.25
MobileNetV2,Bottleneck1_1_3,256,57346,2.45773e+08,111.996,455.689,1.43977e+08,3680.52,256,112.009,128,9,1026,6,1,1,401408,512,2.6132e+07,6422528,2816.18,56.5248,4,803.819,6422528, 6418688, 6418688, 401408, 1.0006, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 6422528, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
MobileNetV2,Bottleneck1_1_Residual,256,1794,5.88952e+07,111.875,1899.56,1.43977e+08,3680.52,256,112.008,128,9,1026,6,1,1,200704,16,3.40782e+06,200704,2816.18,56.5248,4,803.819,200704, 200704, 200704, 200704, 1, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 200704, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
MobileNetV2,Bottleneck2_1_1,256,172034,6.52837e+08,111.999,171.557,1.43977e+08,3680.52,256,112.008,128,9,1026,6,1,1,200704,1536,2.95136e+07,19267584,2816.18,56.5248,4,803.819,19267584, 19243264, 19243264, 200704, 1.00126, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 19267584, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
MobileNetV2,Bottleneck2_1_2,256,8067,2.12654e+08,561.006,2638.11,1.43977e+08,3680.52,256,326.159,436,9,2628,54,1,1,1204224,864,2.12817e+07,4525632,2816.18,56.5248,4,803.819,4525632, 1752567, 1752567, 1204224, 2.58229, 4525632, 864, 864, 864, 5238, 4525632, 4525632, 1161600, 987072, 1, 3, 4, 3, 2, 2, 2, 2, 2, 2, 110, 2.25
MobileNetV2,Bottleneck2_1_3,256,258050,1.00756e+09,111.999,111.158,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,301056,9216,2.86844e+07,28901376,2816.18,56.5248,4,803.819,28901376, 28877056, 28877056, 301056, 1.00084, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 28901376, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
MobileNetV2,Bottleneck2_2_1,256,258050,1.19685e+09,111.999,93.5783,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,301056,9216,2.41479e+07,28901376,2816.18,56.5248,4,803.819,28901376, 28877056, 28877056, 301056, 1.00084, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 28901376, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
MobileNetV2,Bottleneck2_2_2,256,3940,2.4343e+08,639.448,2626.82,1.43977e+08,3680.52,256,313.98,484,9,2450,54,1,1,301056,864,1.03497e+07,2519424,2816.18,56.5248,4,803.819,2519424, 843116, 843116, 301056, 2.98823, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 279936, 1, 2, 4, 2, 1, 1, 1, 2, 2, 2, 216, 2.25
MobileNetV2,Bottleneck2_2_3,256,64514,2.64741e+08,111.997,423.043,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,301056,2304,2.72922e+07,7225344,2816.18,56.5248,4,803.819,7225344, 7219456, 7219456, 301056, 1.00082, 7225344, 2304, 2304, 2304, 3136, 7225344, 7225344, 75264, 7225344, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
MobileNetV2,Bottleneck3_1_1,256,96770,4.20293e+08,111.998,266.475,1.43977e+08,3680.52,256,112.034,128,9,1026,6,1,1,75264,3456,2.57868e+07,10838016,2816.18,56.5248,4,803.819,10838016, 10801408, 10801408, 75264, 1.00339, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 451584, 10838016, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
