Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,64,757261,6.89367e+08,256.277,371.756,1.25418e+07,830.133,64,44.3934,77,9,1764,294,1,1,150528,9408,2.81516e+08,194068224,704.045,70.656,4,51.4318,194068224, 33399512, 33399512, 150528, 5.81051, 194068224, 9408, 9408, 9408, 20628, 194068224, 194068224, 3041536, 7407744, 1, 1, 13, 7, 1, 2, 1, 10, 10, 10, 31.1429, 1.75
Resnet50,CONV2_1_1,64,401410,1.66532e+09,31.9998,19.2154,1.13885e+07,773.608,64,32.01,32,9,258,6,1,1,200704,4096,7.71325e+06,12845056,704.045,14.1312,4,51.4318,12845056, 12841024, 12841024, 200704, 1.00031, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 12845056, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
Resnet50,CONV2_1_2,64,622596,9.40812e+08,172.657,183.519,1.13885e+07,773.608,64,63.0227,83,9,626,54,1,1,200704,36864,1.14258e+08,107495424,704.045,14.1312,4,51.4318,107495424, 37906416, 37906416, 200704, 2.83581, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 61.7143, 2.25
Resnet50,CONV2_1_3,64,1605634,2.44308e+09,32,13.0982,1.13885e+07,773.608,64,32.01,32,9,258,6,1,1,200704,16384,2.10309e+07,51380224,704.045,14.1312,4,51.4318,51380224, 51363904, 51363904, 200704, 1.00032, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
Resnet50,CONV2_1_Residual,64,25090,4.30688e+08,31.9974,74.2938,1.13885e+07,773.608,64,32.0101,32,9,258,6,1,1,802816,256,1.86403e+06,802816,704.045,14.1312,4,51.4318,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
Resnet50,CONV2_2_1,64,1605634,1.74887e+09,32,18.2975,1.13885e+07,773.608,64,32.0102,32,9,258,6,1,1,802816,16384,2.93791e+07,51380224,704.045,14.1312,4,51.4318,51380224, 51376192, 51376192, 802816, 1.00008, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
Resnet50,CONV2_2_2,64,622596,1.23345e+09,172.657,139.979,1.13885e+07,773.608,64,63.0227,83,9,626,54,1,1,200704,36864,8.71501e+07,107495424,704.045,14.1312,4,51.4318,107495424, 37906416, 37906416, 200704, 2.83581, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 61.7143, 2.25
Resnet50,CONV2_2_3,64,1605634,2.44308e+09,32,13.0982,1.13885e+07,773.608,64,32.01,32,9,258,6,1,1,200704,16384,2.10309e+07,51380224,704.045,14.1312,4,51.4318,51380224, 51363904, 51363904, 200704, 1.00032, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
Resnet50,CONV2_2_Residual,64,25090,4.30688e+08,31.9974,74.2938,1.13885e+07,773.608,64,32.0101,32,9,258,6,1,1,802816,256,1.86403e+06,802816,704.045,14.1312,4,51.4318,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
Resnet50,CONV2_3_1,64,1605634,1.74887e+09,32,18.2975,1.13885e+07,773.608,64,32.0102,32,9,258,6,1,1,802816,16384,2.93791e+07,51380224,704.045,14.1312,4,51.4318,51380224, 51376192, 51376192, 802816, 1.00008, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
