Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
UNet,CONV1_1,16,9192965,1.41947e+09,20.3571,14.3414,1.30559e+06,187.257,16,6.88065,9,9,170,54,1,1,327184,576,1.3184e+08,187142400,176.011,3.5328,4,3.71263,187142400, 63252540, 63252540, 327184, 2.95865, 187142400, 576, 576, 576, 324900, 187142400, 187142400, 20793600, 20793600, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
UNet,CONV1_2,16,578142213,9.0744e+10,20.5714,0.226698,1.30559e+06,187.257,16,6.88121,9,9,170,54,1,1,20793600,36864,1.31063e+08,11893211136,176.011,3.5328,4,3.71263,11893211136, 3978278460, 3978278460, 20793600, 2.98954, 11893211136, 36864, 36864, 36864, 322624, 11893211136, 11893211136, 20647936, 1321467904, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 3
UNet,CONV2_1,16,291078149,1.2315e+11,20.1429,0.163563,1.30559e+06,187.257,16,6.90444,9,9,170,54,1,1,5161984,73728,4.76097e+07,5863145472,176.011,3.5328,4,3.71263,5863145472, 2009656380, 2009656380, 5161984, 2.91749, 5863145472, 73728, 73728, 73728, 79524, 5863145472, 5863145472, 10179072, 651460608, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
UNet,CONV2_2,16,561971205,1.25743e+11,20.5714,0.163599,1.30559e+06,187.257,16,6.90579,9,9,170,54,1,1,10179072,147456,9.19379e+07,11560550400,176.011,3.5328,4,3.71263,11560550400, 3880709180, 3880709180, 10179072, 2.97898, 11560550400, 147456, 147456, 147456, 78400, 11560550400, 11560550400, 10035200, 1284505600, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 3
UNet,CONV3_1,16,284884997,1.19983e+11,19.7143,0.164309,1.30559e+06,187.257,16,6.95109,9,9,170,54,1,1,2508800,294912,4.68091e+07,5616304128,176.011,3.5328,4,3.71263,5616304128, 1979963452, 1979963452, 2508800, 2.83657, 5616304128, 294912, 294912, 294912, 19044, 5616304128, 5616304128, 4875264, 624033792, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
UNet,CONV3_2,16,530317317,1.19676e+11,20.5714,0.171893,1.30559e+06,187.257,16,6.95661,9,9,170,54,1,1,4875264,589824,9.1158e+07,10909384704,176.011,3.5328,4,3.71263,10909384704, 3688618044, 3688618044, 4875264, 2.95758, 10909384704, 589824, 589824, 589824, 18496, 10909384704, 10909384704, 4734976, 1212153856, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 3
UNet,CONV4_1,16,272498693,1.13805e+11,18.8571,0.165696,1.30559e+06,187.257,16,7.04227,9,9,170,54,1,1,1183744,1179648,4.5152e+07,5138546688,176.011,3.5328,4,3.71263,5138546688, 1917825084, 1917825084, 1183744, 2.67936, 5138546688, 1179648, 1179648, 1179648, 4356, 5138546688, 5138546688, 2230272, 570949632, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
UNet,CONV4_2,16,469762053,1.08108e+11,20.5714,0.190285,1.30559e+06,187.257,16,7.06525,9,9,170,54,1,1,2230272,2359296,8.93887e+07,9663676416,176.011,3.5328,4,3.71263,9663676416, 3316625468, 3316625468, 2230272, 2.91371, 9663676416, 2359296, 2359296, 2359296, 4096, 9663676416, 9663676416, 2097152, 1073741824, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 3
UNet,CONV5_1,16,220200965,9.86653e+10,19.2857,0.195466,1.30559e+06,187.257,16,7.25937,9,9,170,54,1,1,524288,4718592,4.30418e+07,4246732800,176.011,3.5328,4,3.71263,4246732800, 1593794620, 1593794620, 524288, 2.66454, 4246732800, 4718592, 4718592, 4718592, 900, 4246732800, 4246732800, 921600, 471859200, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
UNet,CONV5_2,16,411041797,9.24176e+10,18,0.194768,1.30559e+06,187.257,16,7.25757,9,9,170,54,1,1,921600,9437184,8.00578e+07,7398752256,176.011,3.5328,4,3.71263,7398752256, 2973720636, 2973720636, 921600, 2.48805, 7398752256, 9437184, 9437184, 9437184, 784, 7398752256, 7398752256, 802816, 822083584, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 1.5
