Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,CONV1,64,456580,6.47409e+08,186.523,288.107,1.13885e+07,773.608,64,63.9332,83,9,626,54,1,1,150528,1728,1.31544e+08,85162752,704.045,14.1312,4,51.4318,85162752, 28866032, 28866032, 150528, 2.95028, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 9462528, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 63.4286, 2.25
vgg16,CONV2,64,9740292,1.43747e+10,186.525,12.9759,1.13885e+07,773.608,64,63.9389,83,9,626,54,1,1,3211264,36864,1.26389e+08,1816805376,704.045,14.1312,4,51.4318,1816805376, 615933936, 615933936, 3211264, 2.94968, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 201867264, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 63.4286, 2.25
vgg16,CONV3,64,4915204,1.88211e+10,181.5,9.64341,1.13885e+07,773.608,64,63.7556,83,9,626,54,1,1,802816,73728,4.73993e+07,892108800,704.045,14.1312,4,51.4318,892108800, 307023600, 307023600, 802816, 2.90567, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 99123200, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 62.8571, 2.25
vgg16,CONV4,64,9830404,1.95836e+10,181.5,9.26795,1.13885e+07,773.608,64,63.7562,83,9,626,54,1,1,1605632,147456,9.11077e+07,1784217600,704.045,14.1312,4,51.4318,1784217600, 614059760, 614059760, 1605632, 2.90561, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 198246400, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 62.8571, 2.25
vgg16,CONV5,64,4980740,1.8498e+10,172.658,9.33385,1.13885e+07,773.608,64,63.0249,83,9,626,54,1,1,401408,294912,4.64895e+07,859963392,704.045,14.1312,4,51.4318,859963392, 303275248, 303275248, 401408, 2.83559, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 95551488, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 61.7143, 2.25
vgg16,CONV6,64,9961476,1.91383e+10,172.658,9.0216,1.13885e+07,773.608,64,63.026,83,9,626,54,1,1,802816,589824,8.98685e+07,1719926784,704.045,14.1312,4,51.4318,1719926784, 606575856, 606575856, 802816, 2.83547, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 61.7143, 2.25
vgg16,CONV7,64,9961476,2.48235e+10,172.658,6.95541,1.13885e+07,773.608,64,63.026,83,9,626,54,1,1,802816,589824,6.92862e+07,1719926784,704.045,14.1312,4,51.4318,1719926784, 606575856, 606575856, 802816, 2.83547, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 4, 3, 1, 1, 1, 3, 3, 3, 61.7143, 2.25
vgg16,CONV8,64,6553604,1.84425e+10,121.68,6.59781,1.13885e+07,773.608,64,52.5172,83,9,626,54,1,1,200704,1179648,4.32394e+07,797442048,704.045,14.1312,4,51.4318,797442048, 329201904, 329201904, 200704, 2.42235, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 88604672, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 52, 0.75
vgg16,CONV9,64,13107204,1.9491e+10,121.68,6.24288,1.13885e+07,773.608,64,52.519,83,9,626,54,1,1,401408,2359296,8.18267e+07,1594884096,704.045,14.1312,4,51.4318,1594884096, 658454768, 658454768, 401408, 2.42216, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 52, 0.75
vgg16,CONV10,64,13107204,2.48372e+10,121.68,4.8991,1.13885e+07,773.608,64,52.519,83,9,626,54,1,1,401408,2359296,6.42135e+07,1594884096,704.045,14.1312,4,51.4318,1594884096, 658454768, 658454768, 401408, 2.42216, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 52, 0.75
vgg16,CONV11,64,3145732,1.3648e+10,108,7.91326,1.13885e+07,773.608,64,43.0761,83,9,626,54,1,1,100352,2359296,2.4893e+07,339738624,704.045,14.1312,4,51.4318,339738624, 133118192, 133118192, 100352, 2.55216, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 48, 1.5
vgg16,CONV12,64,3145732,5.22526e+09,108,20.6688,1.13885e+07,773.608,64,43.0761,83,9,626,54,1,1,100352,2359296,6.50185e+07,339738624,704.045,14.1312,4,51.4318,339738624, 133118192, 133118192, 100352, 2.55216, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 48, 1.5
vgg16,CONV13,64,3145732,5.22526e+09,108,20.6688,1.13885e+07,773.608,64,43.0761,83,9,626,54,1,1,100352,2359296,6.50185e+07,339738624,704.045,14.1312,4,51.4318,339738624, 133118192, 133118192, 100352, 2.55216, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 48, 1.5
